epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.7143,3.2445,4.47263,2.46437,0.00048,0.00855,0.0004,8e-05,3.1666,4.39078,2.44731,1.429e-05,1.429e-05,1.429e-05
2,41.0297,3.18656,4.29902,2.4555,0.00048,0.00855,0.00038,0.00011,3.07469,4.33783,2.36936,4.24456e-05,4.24456e-05,4.24456e-05
3,60.8164,3.05503,4.27148,2.38895,0.00096,0.01709,0.00068,0.0002,2.99916,4.28411,2.30459,7.00353e-05,7.00353e-05,7.00353e-05
4,77.6628,2.92284,4.18232,2.18954,0.00086,0.01709,0.00055,0.00022,2.80469,4.23209,2.21256,9.70591e-05,9.70591e-05,9.70591e-05
5,93.6669,2.72586,4.05409,2.07833,0.00161,0.03419,0.00119,0.00035,2.599,4.12042,2.06883,0.000123517,0.000123517,0.000123517
6,105.301,2.58038,3.9421,1.90959,0.00158,0.03419,0.00331,0.00158,2.48114,4.03824,1.96334,0.000149409,0.000149409,0.000149409
7,136.872,2.47643,3.72859,1.77132,0.00282,0.05983,0.0168,0.00576,2.45705,3.97878,1.93549,0.000174735,0.000174735,0.000174735
8,154.474,2.38996,3.52212,1.73948,0.0044,0.09402,0.03759,0.00919,2.42405,3.90929,1.9054,0.000199496,0.000199496,0.000199496
9,166.833,2.36948,3.24653,1.59856,0.00567,0.11966,0.04411,0.00833,2.39322,3.87148,1.9066,0.00022369,0.00022369,0.00022369
10,182.187,2.42976,3.20149,1.63149,0.00652,0.12821,0.04548,0.00826,2.36351,3.82846,1.87186,0.000247318,0.000247318,0.000247318
11,194.907,2.24201,2.97191,1.63705,0.00762,0.13675,0.05712,0.01019,2.33991,3.80098,1.84601,0.000270381,0.000270381,0.000270381
12,209.161,2.29634,2.80867,1.68349,0.00804,0.13675,0.06007,0.01391,2.33169,3.73916,1.81109,0.000292878,0.000292878,0.000292878
13,229.744,2.32794,2.67582,1.65727,0.00797,0.13333,0.05753,0.01208,2.31334,3.68072,1.80465,0.000314809,0.000314809,0.000314809
14,250.355,2.332,2.63074,1.60645,0.00849,0.13333,0.05856,0.0109,2.30976,3.62083,1.79047,0.000336174,0.000336174,0.000336174
15,263.192,2.19987,2.30251,1.55878,0.00896,0.14188,0.06633,0.01322,2.28163,3.5654,1.76971,0.000356973,0.000356973,0.000356973
16,278.692,2.20756,2.12765,1.56206,0.01101,0.18974,0.06443,0.01859,2.24317,3.51149,1.76966,0.000377206,0.000377206,0.000377206
17,294.286,2.18645,2.44902,1.62379,0.00993,0.1812,0.0544,0.01723,2.24721,3.47226,1.79224,0.000396873,0.000396873,0.000396873
18,306.99,2.1326,2.15545,1.60274,0.01334,0.27692,0.07231,0.03581,2.26003,3.41021,1.81259,0.000415975,0.000415975,0.000415975
19,320.733,2.16249,2.07996,1.58885,0.01297,0.2906,0.11087,0.05456,2.25917,3.36498,1.84017,0.00043451,0.00043451,0.00043451
20,348.412,2.09606,2.06768,1.55396,0.0146,0.36068,0.13871,0.05866,2.27948,3.34025,1.83317,0.00045248,0.00045248,0.00045248
21,374.935,2.16431,2.00606,1.53615,0.0153,0.37778,0.1403,0.05852,2.35215,3.32294,1.79909,0.000469884,0.000469884,0.000469884
22,392.716,2.09825,2.24451,1.58231,0.01504,0.3641,0.14822,0.05385,2.32558,3.31039,1.76022,0.000486722,0.000486722,0.000486722
23,417.087,2.07292,2.37332,1.56275,0.71432,0.11224,0.13307,0.04674,2.31062,3.31568,1.75642,0.000502994,0.000502994,0.000502994
24,430.822,2.03779,2.07203,1.49088,0.75817,0.05128,0.07786,0.02879,2.37614,3.38262,1.80143,0.0005187,0.0005187,0.0005187
25,443.059,2.04889,2.04243,1.49746,0.0104,0.28205,0.06148,0.02371,2.3354,3.36204,1.79638,0.00053384,0.00053384,0.00053384
26,456.266,2.00944,1.87824,1.4749,0.01233,0.34701,0.10063,0.04014,2.28465,3.27394,1.76561,0.000548414,0.000548414,0.000548414
27,476.868,1.85088,1.90594,1.43372,0.69975,0.1641,0.16676,0.06326,2.24256,3.16826,1.73158,0.000562423,0.000562423,0.000562423
28,490.777,1.98657,1.99658,1.436,0.69975,0.1641,0.16676,0.06326,2.24256,3.16826,1.73158,0.000575866,0.000575866,0.000575866
29,505.797,1.97456,1.8563,1.38986,0.77954,0.06838,0.19118,0.06421,2.30226,3.1204,1.76398,0.000588742,0.000588742,0.000588742
30,517.168,2.00566,1.81629,1.45119,0.79689,0.04391,0.20045,0.07234,2.31076,3.0788,1.75914,0.000601053,0.000601053,0.000601053
31,530.231,2.03135,1.91279,1.45849,0.79689,0.04391,0.20045,0.07234,2.31076,3.0788,1.75914,0.000612798,0.000612798,0.000612798
32,548.092,1.86733,1.74717,1.37399,0.79309,0.04274,0.19666,0.07647,2.36331,3.07815,1.76965,0.000623977,0.000623977,0.000623977
33,560.335,1.93269,2.04189,1.43884,0.01271,0.42735,0.18895,0.06395,2.46541,3.16184,1.80762,0.00063459,0.00063459,0.00063459
34,570.194,1.85225,1.80537,1.42091,0.01271,0.42735,0.18895,0.06395,2.46541,3.16184,1.80762,0.000644638,0.000644638,0.000644638
35,580.819,1.95618,1.9723,1.4271,0.01325,0.42735,0.1692,0.0654,2.46589,3.16659,1.80809,0.000654119,0.000654119,0.000654119
36,596.297,1.87012,1.96197,1.41064,0.81994,0.02564,0.23981,0.07837,2.40382,3.09292,1.74353,0.000663035,0.000663035,0.000663035
37,608.38,1.79615,1.7566,1.35531,0.81994,0.02564,0.23981,0.07837,2.40382,3.09292,1.74353,0.000671384,0.000671384,0.000671384
38,621.349,1.88074,1.87094,1.46155,0.81134,0.05128,0.29974,0.10525,2.35018,3.00335,1.71314,0.000679168,0.000679168,0.000679168
39,633.252,1.78357,1.77668,1.33447,0.77408,0.06838,0.29166,0.10968,2.30232,2.88299,1.67997,0.000686386,0.000686386,0.000686386
40,645.356,1.85567,1.92784,1.4295,0.77408,0.06838,0.29166,0.10968,2.30232,2.88299,1.67997,0.000693038,0.000693038,0.000693038
41,667.964,1.81294,1.88927,1.44106,0.75992,0.08547,0.27439,0.09452,2.29659,2.82733,1.69378,0.000699124,0.000699124,0.000699124
42,685.949,1.90215,1.72805,1.42039,0.76193,0.09402,0.27412,0.08795,2.28599,2.78778,1.68138,0.000704644,0.000704644,0.000704644
43,701.495,1.7774,1.67735,1.37699,0.76193,0.09402,0.27412,0.08795,2.28599,2.78778,1.68138,0.000709599,0.000709599,0.000709599
44,724.928,1.94411,1.94079,1.47081,0.78184,0.13539,0.33984,0.10483,2.32405,2.66882,1.70529,0.000713987,0.000713987,0.000713987
45,740.145,1.93549,1.80605,1.41469,0.78184,0.13539,0.33984,0.10483,2.32405,2.66882,1.70529,0.00071781,0.00071781,0.00071781
46,753.213,1.89254,1.71184,1.38166,0.73211,0.2735,0.38218,0.13664,2.22705,2.47847,1.64566,0.000721066,0.000721066,0.000721066
47,766.315,1.83605,1.79141,1.39787,0.73211,0.2735,0.38218,0.13664,2.22705,2.47847,1.64566,0.000723757,0.000723757,0.000723757
48,783.768,1.83416,1.79441,1.43834,0.74565,0.33946,0.40182,0.13344,2.22402,2.4175,1.63985,0.000725882,0.000725882,0.000725882
49,797.665,1.8401,1.64315,1.32491,0.74565,0.33946,0.40182,0.13344,2.22402,2.4175,1.63985,0.000727441,0.000727441,0.000727441
50,810.189,1.87468,1.91482,1.42994,0.67247,0.3399,0.30743,0.10896,2.32108,2.38917,1.69684,0.000728434,0.000728434,0.000728434
51,823.275,1.8378,1.68936,1.38707,0.67247,0.3399,0.30743,0.10896,2.32108,2.38917,1.69684,0.000721645,0.000721645,0.000721645
52,838.396,1.72685,1.76952,1.3023,0.67386,0.39316,0.32548,0.11854,2.32253,2.27448,1.68843,0.000707498,0.000707498,0.000707498
53,857.669,1.77641,1.69171,1.34643,0.67386,0.39316,0.32548,0.11854,2.32253,2.27448,1.68843,0.000693351,0.000693351,0.000693351
54,872.78,1.81788,1.71073,1.33788,0.68912,0.41203,0.3558,0.14666,2.2442,2.14777,1.64714,0.000679204,0.000679204,0.000679204
55,886.779,1.85065,1.59641,1.34476,0.68912,0.41203,0.3558,0.14666,2.2442,2.14777,1.64714,0.000665057,0.000665057,0.000665057
56,903.835,1.75337,1.66172,1.36769,0.66453,0.42717,0.34999,0.13714,2.24953,2.05465,1.64518,0.000650909,0.000650909,0.000650909
57,918.36,1.71537,1.56535,1.35013,0.66453,0.42717,0.34999,0.13714,2.24953,2.05465,1.64518,0.000636762,0.000636762,0.000636762
58,931.732,1.70371,1.62499,1.27377,0.66998,0.42735,0.34582,0.13615,2.25004,2.04607,1.65688,0.000622615,0.000622615,0.000622615
59,943.884,1.79056,1.65003,1.39563,0.66998,0.42735,0.34582,0.13615,2.25004,2.04607,1.65688,0.000608468,0.000608468,0.000608468
60,961.287,1.7149,1.57883,1.37344,0.66316,0.45812,0.34447,0.12936,2.32105,2.08933,1.70787,0.000594321,0.000594321,0.000594321
61,975.07,1.76011,1.81068,1.33674,0.66316,0.45812,0.34447,0.12936,2.32105,2.08933,1.70787,0.000580174,0.000580174,0.000580174
62,993.375,1.6935,1.57809,1.30345,0.71147,0.41691,0.34795,0.12299,2.4093,2.14859,1.77331,0.000566027,0.000566027,0.000566027
63,1004.99,1.68379,1.65908,1.28136,0.71147,0.41691,0.34795,0.12299,2.4093,2.14859,1.77331,0.00055188,0.00055188,0.00055188
64,1018.6,1.70605,1.62783,1.27409,0.7256,0.41651,0.34409,0.1238,2.42248,2.15407,1.77846,0.000537733,0.000537733,0.000537733
65,1032.36,1.69922,1.60187,1.28335,0.7256,0.41651,0.34409,0.1238,2.42248,2.15407,1.77846,0.000523586,0.000523586,0.000523586
66,1049.83,1.71987,1.6342,1.30291,0.71384,0.40342,0.3358,0.11428,2.43902,2.18552,1.77774,0.000509438,0.000509438,0.000509438
67,1064.84,1.68637,1.51252,1.23876,0.71384,0.40342,0.3358,0.11428,2.43902,2.18552,1.77774,0.000495291,0.000495291,0.000495291
68,1082.26,1.65868,1.51573,1.24263,0.71108,0.42051,0.33427,0.11506,2.46158,2.17218,1.78445,0.000481144,0.000481144,0.000481144
69,1096.51,1.60604,1.56685,1.24799,0.71108,0.42051,0.33427,0.11506,2.46158,2.17218,1.78445,0.000466997,0.000466997,0.000466997
70,1116.49,1.67512,1.50818,1.26899,0.64672,0.39006,0.29974,0.11446,2.49395,2.1178,1.78983,0.00045285,0.00045285,0.00045285
71,1130.2,1.6053,1.56375,1.23697,0.64672,0.39006,0.29974,0.11446,2.49395,2.1178,1.78983,0.000438703,0.000438703,0.000438703
72,1144.17,1.80008,1.48765,1.27508,0.75631,0.44435,0.36441,0.13245,2.44941,2.01505,1.7517,0.000424556,0.000424556,0.000424556
73,1155.71,1.66026,1.50879,1.26831,0.75631,0.44435,0.36441,0.13245,2.44941,2.01505,1.7517,0.000410409,0.000410409,0.000410409
74,1183.97,1.6813,1.44463,1.29744,0.72899,0.44412,0.36725,0.13784,2.4103,1.96934,1.7703,0.000396262,0.000396262,0.000396262
75,1210.74,1.66634,1.40166,1.20976,0.72899,0.44412,0.36725,0.13784,2.4103,1.96934,1.7703,0.000382115,0.000382115,0.000382115
76,1224.19,1.76487,1.50627,1.24853,0.78404,0.49636,0.42501,0.14307,2.331,1.93042,1.74837,0.000367967,0.000367967,0.000367967
77,1241.05,1.66502,1.49315,1.29423,0.78404,0.49636,0.42501,0.14307,2.331,1.93042,1.74837,0.00035382,0.00035382,0.00035382
78,1267.16,1.5751,1.46732,1.21466,0.77083,0.46838,0.3973,0.13721,2.31414,1.92142,1.75681,0.000339673,0.000339673,0.000339673
79,1288.59,1.69177,1.57559,1.25622,0.77083,0.46838,0.3973,0.13721,2.31414,1.92142,1.75681,0.000325526,0.000325526,0.000325526
80,1306.75,1.62436,1.38552,1.21027,0.75923,0.45983,0.4028,0.14365,2.31134,1.92579,1.76959,0.000311379,0.000311379,0.000311379
81,1323.36,1.67463,1.50064,1.27306,0.75923,0.45983,0.4028,0.14365,2.31134,1.92579,1.76959,0.000297232,0.000297232,0.000297232
82,1337.54,1.63169,1.63395,1.31232,0.73915,0.45552,0.40913,0.14335,2.31997,1.93985,1.7716,0.000283085,0.000283085,0.000283085
