epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.3581,4.33658,30.8792,2.51873,0.00063,0.00855,0.00032,0.00016,7.02278,12.275,4.15779,1.429e-05,1.429e-05,1.429e-05
2,63.2002,5.3397,20.5043,3.16207,0.0006,0.00855,0.00031,0.00015,7.02278,12.2881,4.1565,4.22637e-05,4.22637e-05,4.22637e-05
3,90.5928,6.73203,15.5871,4.16798,0.00059,0.00855,0.00031,3e-05,7.02198,12.2528,4.15045,6.9429e-05,6.9429e-05,6.9429e-05
4,121.881,3.99942,17.4866,2.3607,0.00116,0.01709,0.00061,0.00015,7.01994,12.2835,4.13614,9.57859e-05,9.57859e-05,9.57859e-05
5,156.284,6.95889,23.672,4.05193,0.00112,0.01709,0.01004,0.00208,7.01702,12.0547,4.11863,0.000121334,0.000121334,0.000121334
6,184.549,4.51236,30.1309,2.53283,0.00057,0.00855,0.00029,0.00015,7.01386,11.9324,4.09798,0.000146074,0.000146074,0.000146074
7,209.591,6.90534,10.8817,3.9161,0.00055,0.00855,0.00035,7e-05,7.00762,11.4534,4.05957,0.000170006,0.000170006,0.000170006
8,237.749,6.85118,18.7475,3.77895,0.00052,0.00855,0.00034,0.00014,6.99512,10.441,3.98918,0.000193129,0.000193129,0.000193129
9,269.392,6.88227,14.2545,3.82491,0.00056,0.00855,0.00035,3e-05,6.98624,10.0691,3.93673,0.000215444,0.000215444,0.000215444
10,296.647,4.50926,16.4219,2.71036,0.00053,0.00855,0.00041,0.00016,6.97081,9.27433,3.86201,0.000236951,0.000236951,0.000236951
11,324.798,6.81585,9.21405,3.91127,0.00105,0.01709,0.00237,0.00061,6.95299,8.26727,3.78857,0.000257649,0.000257649,0.000257649
12,352.464,6.9171,16.9455,3.9559,0.00104,0.01709,0.00242,0.00062,6.93133,7.2445,3.70557,0.000277538,0.000277538,0.000277538
13,378.436,6.70098,6.96816,3.40576,0.00103,0.01709,0.00421,0.00055,6.90266,6.54826,3.59556,0.00029662,0.00029662,0.00029662
14,405.572,4.8956,10.4337,2.83074,0.00106,0.01709,0.00087,0.00012,6.86207,6.1128,3.46382,0.000314892,0.000314892,0.000314892
15,424.927,5.77188,9.89102,3.23877,0.00056,0.00855,0.00031,0.00012,6.80045,5.34637,3.33577,0.000332357,0.000332357,0.000332357
16,449.922,6.81209,6.19202,3.55261,0.00082,0.01709,0.00122,0.00022,6.70004,4.56582,3.19484,0.000349013,0.000349013,0.000349013
17,471.601,5.31318,10.5271,2.73377,0.00048,0.01709,0.00034,8e-05,6.51051,4.18232,3.0175,0.00036486,0.00036486,0.00036486
18,499.028,6.57633,6.36475,3.78471,0.00042,0.01709,0.00023,4e-05,6.2269,3.86344,2.86305,0.0003799,0.0003799,0.0003799
19,521.52,6.29442,6.2188,3.17873,0.00058,0.02564,0.00035,8e-05,5.86235,3.62671,2.75047,0.00039413,0.00039413,0.00039413
20,545.501,6.65067,6.15766,3.36391,0.00056,0.02564,0.00034,9e-05,5.39732,3.62232,2.64514,0.000407553,0.000407553,0.000407553
21,572.498,6.48229,6.1673,3.28719,0.00083,0.05128,0.00055,0.00014,5.02278,3.44817,2.5485,0.000420167,0.000420167,0.000420167
22,597.179,6.25398,6.05418,2.93287,0.00083,0.05128,0.00055,0.0002,4.83766,3.45803,2.49455,0.000431972,0.000431972,0.000431972
23,623.705,6.0506,7.08407,2.73514,0.00083,0.05128,0.00055,0.0002,4.72499,3.76188,2.46574,0.00044297,0.00044297,0.00044297
24,648.319,4.94371,4.93013,2.77838,0.00083,0.05128,0.00057,0.00021,4.60082,3.44034,2.44921,0.000453158,0.000453158,0.000453158
25,672.032,4.9184,5.52793,2.78006,0.00083,0.05128,0.00055,0.00021,4.49795,3.37081,2.44314,0.000462539,0.000462539,0.000462539
26,696.279,5.4026,4.33297,3.03378,0.00083,0.05128,0.00055,0.0002,4.48343,4.23229,2.45983,0.000471111,0.000471111,0.000471111
27,722.821,5.50656,4.71939,2.4162,0.00111,0.06838,0.0008,0.0002,4.47776,5.06048,2.46872,0.000478874,0.000478874,0.000478874
28,749.986,5.20663,7.79716,2.59511,0.00111,0.06838,0.0008,0.0002,4.47776,5.06048,2.46872,0.000485829,0.000485829,0.000485829
29,776.838,5.90296,5.67541,2.75993,0.00139,0.08547,0.001,0.00018,4.4927,3.37155,2.48374,0.000491976,0.000491976,0.000491976
30,803.773,5.22929,4.48278,2.37658,0.00083,0.05128,0.00056,0.00012,4.55886,3.15825,2.51629,0.000497314,0.000497314,0.000497314
31,822.93,5.87892,8.08267,2.4553,0.00083,0.05128,0.00056,0.00012,4.55886,3.15825,2.51629,0.000501844,0.000501844,0.000501844
32,857.218,5.47845,4.52914,2.2994,0.00069,0.04274,0.0005,0.00012,4.66281,3.27455,2.50351,0.000505566,0.000505566,0.000505566
33,885.247,4.97203,4.44179,2.45436,0.00069,0.04274,0.00044,8e-05,4.8411,3.41142,2.50364,0.000508479,0.000508479,0.000508479
34,911.334,4.83041,3.90744,2.58479,0.00069,0.04274,0.00044,8e-05,4.8411,3.41142,2.50364,0.000510584,0.000510584,0.000510584
35,942.647,4.71825,3.96316,2.50258,0.00069,0.04274,0.00044,7e-05,4.84099,3.39544,2.46881,0.00051188,0.00051188,0.00051188
