epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.7404,5.76244,16.095,3.48725,0.00117,0.01709,0.00228,0.00062,7.0228,12.285,4.1579,2.858e-05,2.858e-05,2.858e-05
2,61.2511,6.81765,8.38345,4.05531,0.00059,0.00855,0.0003,6e-05,7.02158,12.2236,4.14504,7.07426e-05,7.07426e-05,7.07426e-05
3,87.52,6.81256,16.5837,3.7707,0.00115,0.01709,0.00229,0.00055,7.01857,12.1494,4.12141,0.000112056,0.000112056,0.000112056
4,111.241,6.91707,16.6037,3.81266,0.00111,0.01709,0.00059,0.00017,7.01163,11.6877,4.06242,0.000152521,0.000152521,0.000152521
5,141.97,6.7514,12.2196,4.15024,0.00056,0.00855,0.00029,6e-05,7.00507,11.2099,4.01277,0.000192138,0.000192138,0.000192138
6,170.008,6.10075,12.5914,3.27933,0.00052,0.00855,0.00442,0.00177,6.98168,9.90867,3.87702,0.000230905,0.000230905,0.000230905
7,196.838,6.44215,9.78006,3.71019,0.00106,0.01709,0.00254,0.00071,6.96339,8.72129,3.78988,0.000268823,0.000268823,0.000268823
8,224.107,6.79041,13.0348,3.52194,0.00104,0.01709,0.00209,0.00058,6.94028,7.74584,3.68594,0.000305893,0.000305893,0.000305893
9,249.209,6.82873,8.61001,3.80609,0.00051,0.00855,0.00085,0.00034,6.90022,6.79799,3.53441,0.000342114,0.000342114,0.000342114
10,282.207,6.89333,9.37703,3.63712,0.00102,0.01709,0.00252,0.00066,6.83422,5.56016,3.35994,0.000377486,0.000377486,0.000377486
11,314.978,6.96309,10.4072,3.78093,0.00082,0.01709,0.00217,0.00045,6.70672,4.53691,3.15472,0.000412009,0.000412009,0.000412009
12,343.569,4.45381,12.0687,2.16633,0.00042,0.01709,0.00187,0.00023,6.4472,4.05621,2.94543,0.000445684,0.000445684,0.000445684
13,372.401,6.54413,7.65961,3.44483,0.00041,0.01709,0.00062,0.00012,5.98114,3.72688,2.77524,0.000478509,0.000478509,0.000478509
14,398.369,6.62924,5.14259,3.1756,0.00055,0.02564,0.00032,9e-05,5.43895,3.42862,2.6425,0.000510486,0.000510486,0.000510486
15,426.285,6.02716,4.76695,3.27398,0.00055,0.02564,0.00032,9e-05,5.43895,3.42862,2.6425,0.000541614,0.000541614,0.000541614
16,453.801,6.04113,5.10772,2.76941,0.00072,0.03419,0.00046,0.0001,5.02199,4.89733,2.51476,0.000571893,0.000571893,0.000571893
17,477.496,5.786,4.69354,2.71739,0.00083,0.05128,0.00054,0.0002,4.62031,3.82902,2.45161,0.000601323,0.000601323,0.000601323
18,500.323,4.77832,4.35936,2.71384,0.00083,0.05128,0.00054,0.0002,4.62031,3.82902,2.45161,0.000629905,0.000629905,0.000629905
19,529.656,4.95138,6.9124,2.51008,0.00083,0.05128,0.00054,0.00024,4.49206,3.85322,2.53732,0.000657637,0.000657637,0.000657637
20,556.079,4.97407,4.28512,2.51192,0.00097,0.05983,0.00065,0.00016,4.50772,3.69618,2.84978,0.000684521,0.000684521,0.000684521
21,587.141,5.73658,4.37718,2.6026,0.00097,0.05983,0.00065,0.00016,4.50772,3.69618,2.84978,0.000710556,0.000710556,0.000710556
22,613.131,6.27256,4.74697,3.27498,0.00097,0.05983,0.00075,0.00013,4.57812,4.63797,3.08653,0.000735742,0.000735742,0.000735742
