epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.376,0.4744,3.16509,2.9505,0.01935,0.06496,0.01139,0.00133,0.49578,3.14316,2.82648,0.098004,4e-06,4e-06
2,48.9797,0.47107,3.00346,2.88823,0.00188,0.04274,0.00174,0.00036,0.4911,3.05719,2.83357,0.09501,9.99756e-06,9.99756e-06
3,71.8515,0.46168,3.06149,2.93048,0.00187,0.04274,0.00177,0.00036,0.48939,2.99557,2.83384,0.092016,1.59844e-05,1.59844e-05
