epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.2964,5.80276,15.7036,3.53001,0.00119,0.01709,0.00063,0.00019,7.01861,9.46729,4.14876,0.098002,2e-06,2e-06
2,34.1619,6.82382,7.28535,4.19685,0.00119,0.01709,0.00063,0.00022,7.01191,7.53646,4.12212,0.095005,4.9505e-06,4.9505e-06
3,51.3716,5.99779,9.91413,3.56638,0.00059,0.00855,0.0003,0.00012,7.00673,6.49237,4.10497,0.0920078,7.8416e-06,7.8416e-06
4,68.8261,5.6899,8.07453,3.34761,0,0,0,0,7.00068,5.74984,4.0827,0.0890107,1.06733e-05,1.06733e-05
5,82.9794,6.65459,6.49631,4.07719,0,0,0,0,6.99761,5.50938,4.07132,0.0860134,1.34456e-05,1.34456e-05
6,100.426,4.91067,5.45023,2.87676,0,0,0,0,6.99051,5.14204,4.04209,0.0830162,1.61585e-05,1.61585e-05
7,114.977,5.98181,4.69311,3.58154,0,0,0,0,6.98661,5.02228,4.02593,0.0800188,1.8812e-05,1.8812e-05
8,129.717,4.56599,4.83979,2.64226,0,0,0,0,6.98271,4.92718,4.0084,0.0770214,2.14061e-05,2.14061e-05
9,143.796,6.27069,4.62018,3.73708,0,0,0,0,6.97834,4.84764,3.98939,0.0740239,2.39408e-05,2.39408e-05
10,161.866,6.00686,4.85465,3.42495,0,0,0,0,6.97408,4.78942,3.97044,0.0710264,2.64161e-05,2.64161e-05
11,177.656,5.77546,4.84119,3.38655,0,0,0,0,6.97011,4.74743,3.9533,0.0680288,2.8832e-05,2.8832e-05
12,196.93,2.18235,2.78042,1.25412,0,0,0,0,6.96602,4.71522,3.93563,0.0650312,3.11885e-05,3.11885e-05
13,210.346,5.77989,4.44369,3.35197,0,0,0,0,6.96168,4.68948,3.9174,0.0620335,3.34856e-05,3.34856e-05
14,225.162,6.22553,4.5523,3.57168,0,0,0,0,6.95709,4.66717,3.89754,0.0590357,3.57233e-05,3.57233e-05
15,238.502,6.81092,4.75577,3.97541,0,0,0,0,6.95709,4.66717,3.89754,0.0560379,3.79016e-05,3.79016e-05
16,255.651,5.28321,4.31363,3.02118,0,0,0,0,6.95249,4.64878,3.87601,0.05304,4.00205e-05,4.00205e-05
17,275.903,5.09345,3.99988,2.82713,0,0,0,0,6.94771,4.63546,3.85898,0.0500421,4.208e-05,4.208e-05
18,291.129,6.67694,4.88823,3.88607,0,0,0,0,6.94771,4.63546,3.85898,0.0470441,4.40801e-05,4.40801e-05
19,307.679,5.66132,4.20407,3.11172,0,0,0,0,6.94263,4.62279,3.83898,0.044046,4.60208e-05,4.60208e-05
20,322.037,4.28404,3.43863,2.36941,0,0,0,0,6.93731,4.6122,3.81843,0.0410479,4.79021e-05,4.79021e-05
21,340.752,4.84619,3.88245,2.78501,0,0,0,0,6.93731,4.6122,3.81843,0.0380497,4.9724e-05,4.9724e-05
22,353.414,6.81988,4.48358,3.90213,0,0,0,0,6.93232,4.6038,3.80049,0.0350515,5.14865e-05,5.14865e-05
23,367.184,5.93715,4.34945,3.32974,0,0,0,0,6.93232,4.6038,3.80049,0.0320532,5.31896e-05,5.31896e-05
24,380.951,5.65145,3.89754,3.17664,0,0,0,0,6.92702,4.59646,3.78319,0.0290548,5.48333e-05,5.48333e-05
25,398.726,6.05287,4.47914,3.42693,0,0,0,0,6.92702,4.59646,3.78319,0.0260564,5.64176e-05,5.64176e-05
26,416.138,6.07471,4.36741,3.53759,0,0,0,0,6.92211,4.59069,3.76862,0.0230579,5.79425e-05,5.79425e-05
27,431.872,6.32299,4.73214,3.68264,0,0,0,0,6.92211,4.59069,3.76862,0.0200594,5.9408e-05,5.9408e-05
28,445.499,5.24404,3.78777,2.95887,0,0,0,0,6.91699,4.58522,3.75435,0.0170608,6.08141e-05,6.08141e-05
29,463.751,5.61092,4.02535,3.06175,0,0,0,0,6.91699,4.58522,3.75435,0.0140622,6.21608e-05,6.21608e-05
30,480,6.75259,4.6707,3.82511,0,0,0,0,6.91699,4.58522,3.75435,0.0110634,6.34481e-05,6.34481e-05
31,496.712,6.5611,4.67,3.88958,0,0,0,0,6.91256,4.58101,3.74008,0.00806468,6.4676e-05,6.4676e-05
32,511.293,6.01406,4.26822,3.47573,0,0,0,0,6.91256,4.58101,3.74008,0.00506584,6.58445e-05,6.58445e-05
33,526.44,6.42706,4.6028,3.59088,0,0,0,0,6.90845,4.58231,3.73681,0.00206695,6.69536e-05,6.69536e-05
34,541.829,6.75316,4.59529,3.85422,0,0,0,0,6.90845,4.58231,3.73681,6.733e-05,6.733e-05,6.733e-05
