epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.7115,5.56861,10.3875,3.33032,0,0,0,0,6.9572,4.60999,3.90608,0.09801,1e-05,1e-05
2,30.9663,6.65695,4.28428,3.68398,0,0,0,0,6.68827,4.04545,3.1453,0.0950248,2.47525e-05,2.47525e-05
3,42.5168,6.49399,4.20279,2.94675,0.00019,0.00855,0.0001,5e-05,6.16102,3.79329,2.7344,0.0920392,3.9208e-05,3.9208e-05
4,56.8513,6.11362,3.3663,2.58296,0.0004,0.01709,0.00024,6e-05,5.03262,3.41127,2.35999,0.0890534,5.33665e-05,5.33665e-05
5,71.2235,5.43089,3.1403,2.42994,0.00099,0.04274,0.0009,0.00026,4.62361,3.4053,2.27506,0.0860672,6.7228e-05,6.7228e-05
6,87.9671,5.06274,3.0834,2.15561,0.00111,0.06838,0.00074,0.00019,4.47423,3.46193,2.28816,0.0830808,8.07925e-05,8.07925e-05
7,101.69,4.63854,3.23273,2.28795,0.00111,0.06838,0.00073,0.00018,4.49869,3.33774,2.28328,0.0800941,9.406e-05,9.406e-05
8,117.097,4.84059,3.2407,2.14191,0.00111,0.06838,0.00073,0.00015,4.56962,3.36193,2.29602,0.077107,0.000107031,0.000107031
9,127.735,4.73928,3.09221,2.1355,0.00139,0.08547,0.00098,0.00017,4.61609,3.31438,2.28251,0.0741197,0.000119704,0.000119704
10,142.298,4.64847,2.96377,1.97152,0.00139,0.08547,0.00096,0.00016,4.62379,3.30878,2.25276,0.0711321,0.000132081,0.000132081
11,156.489,4.58927,3.08192,1.91699,0.00111,0.06838,0.00076,0.00015,4.6085,3.33795,2.22253,0.0681442,0.00014416,0.00014416
12,166.883,4.65393,3.29662,1.73864,0.00097,0.05983,0.00067,0.00015,4.59406,3.30965,2.2049,0.0651559,0.000155942,0.000155942
13,180.508,4.59495,3.23561,1.96356,0.00083,0.05128,0.00059,0.00014,4.62532,3.30904,2.18641,0.0621674,0.000167428,0.000167428
14,190.751,4.62408,3.12456,1.91411,0.00083,0.05128,0.00059,0.00012,4.63167,3.27116,2.17582,0.0591786,0.000178616,0.000178616
15,203.115,4.5854,3.1018,1.85497,0.00083,0.05128,0.00059,0.00012,4.63167,3.27116,2.17582,0.0561895,0.000189508,0.000189508
16,214.11,4.48162,3.07596,1.74959,0.00083,0.05128,0.00059,0.00012,4.63652,3.26946,2.16166,0.0532001,0.000200103,0.000200103
17,227.73,4.46603,3.07393,1.71976,0.00083,0.05128,0.00059,0.00015,4.639,3.25112,2.15136,0.0502104,0.0002104,0.0002104
