epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.2305,3.92951,5.52463,2.85415,0.01936,0.06496,0.01189,0.00138,4.12132,5.25358,2.81145,0.098002,2e-06,2e-06
2,96.8565,3.82959,5.2489,2.81898,0.02412,0.06496,0.01483,0.00172,4.09749,5.16868,2.8199,0.095005,4.99878e-06,4.99878e-06
3,134.235,3.8611,5.3628,2.82919,0.02285,0.06496,0.01416,0.00165,4.10576,5.11043,2.81466,0.092008,7.99219e-06,7.99219e-06
4,170.878,3.88836,5.14932,2.88211,0.00255,0.05128,0.00163,0.00033,4.08414,5.08676,2.81561,0.089011,1.09758e-05,1.09758e-05
5,209.462,3.91211,5.17407,2.84559,0.00209,0.04274,0.00153,0.00018,4.05919,5.09462,2.82256,0.0860139,1.39454e-05,1.39454e-05
6,251.884,3.81241,5.11997,2.82588,0.01595,0.06496,0.01879,0.00201,3.98736,5.09781,2.83163,0.0830169,1.68964e-05,1.68964e-05
7,288.97,3.86555,5.11523,2.82704,0.02429,0.04786,0.02719,0.00285,3.98236,5.10468,2.84592,0.0800198,1.98246e-05,1.98246e-05
