epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.5098,1.64753,3.53584,1.24144,0.00518,0.15897,0.06074,0.01878,2.05502,3.86719,1.58623,0.098004,4e-06,4e-06
2,28.8386,1.76541,3.46991,1.3185,0.00418,0.15043,0.04838,0.0127,2.03966,3.82528,1.5853,0.09501,9.99756e-06,9.99756e-06
3,42.8773,1.69765,3.40981,1.28845,0.00414,0.15043,0.05098,0.01304,2.03292,3.78846,1.58329,0.092016,1.59844e-05,1.59844e-05
4,54.6372,1.68066,3.3137,1.25411,0.00411,0.15043,0.05105,0.01361,2.01953,3.74743,1.57648,0.089022,2.19517e-05,2.19517e-05
5,66.8701,1.72192,3.29564,1.2658,0.0041,0.15043,0.05147,0.01365,2.00801,3.7202,1.55918,0.0860279,2.78907e-05,2.78907e-05
6,79.5562,1.78516,3.30173,1.31897,0.0041,0.15043,0.0493,0.01347,1.98695,3.67665,1.5513,0.0830338,3.37928e-05,3.37928e-05
7,94.2844,1.77381,3.22875,1.30018,0.0041,0.15043,0.06024,0.01876,1.97993,3.65505,1.54225,0.0800396,3.96493e-05,3.96493e-05
8,110.908,1.92295,3.28606,1.35641,0.00408,0.15043,0.05965,0.01855,1.97609,3.63127,1.53913,0.0770455,4.54516e-05,4.54516e-05
9,125.138,1.72268,3.13822,1.26477,0.00478,0.17607,0.07396,0.0201,1.96888,3.60899,1.5327,0.0740512,5.11913e-05,5.11913e-05
10,136.507,1.88008,3.15391,1.34873,0.00788,0.30427,0.07659,0.02141,1.96282,3.58674,1.52993,0.0710569,5.686e-05,5.686e-05
11,149.604,1.815,3.13311,1.33009,0.00709,0.32137,0.10695,0.03147,1.95778,3.56427,1.5304,0.0680624,6.24495e-05,6.24495e-05
12,163.494,1.74124,3.12843,1.22439,0.02714,0.32137,0.17961,0.06416,1.95277,3.54294,1.52606,0.065068,6.79515e-05,6.79515e-05
13,174.837,1.55162,2.97542,1.16254,0.0882,0.32137,0.21625,0.08331,1.94661,3.52081,1.5254,0.0620734,7.33582e-05,7.33582e-05
14,185.9,1.8289,3.08242,1.35964,0.17153,0.32137,0.25755,0.10638,1.94118,3.49793,1.5229,0.0590787,7.86617e-05,7.86617e-05
15,198.961,1.78683,2.98287,1.30744,0.17153,0.32137,0.25755,0.10638,1.94118,3.49793,1.5229,0.0560839,8.38543e-05,8.38543e-05
16,216.122,1.74955,2.99797,1.29378,0.00486,0.29915,0.1624,0.05877,1.94045,3.47363,1.52295,0.0530889,8.89285e-05,8.89285e-05
17,231.138,1.6566,2.90639,1.22365,0.00486,0.29915,0.16575,0.06113,1.9399,3.44918,1.52298,0.0500939,9.38772e-05,9.38772e-05
18,246.495,1.68152,2.92695,1.25142,0.00486,0.29915,0.16575,0.06113,1.9399,3.44918,1.52298,0.0470987,9.86931e-05,9.86931e-05
19,258.075,1.78348,2.93961,1.29352,0.00486,0.29915,0.16825,0.0621,1.94365,3.42082,1.52295,0.0441034,0.00010337,0.00010337
20,269.276,1.64228,2.85118,1.2333,0.00486,0.29915,0.16775,0.06305,1.94538,3.38671,1.52473,0.0411079,0.0001079,0.0001079
21,287.609,1.84125,2.80781,1.33353,0.00486,0.29915,0.16775,0.06305,1.94538,3.38671,1.52473,0.0381123,0.000112277,0.000112277
22,300.922,1.79981,2.84834,1.30161,0.00486,0.29915,0.17166,0.06474,1.9514,3.35774,1.52873,0.0351165,0.000116496,0.000116496
23,314.904,1.89216,2.86651,1.3862,0.00486,0.29915,0.17166,0.06474,1.9514,3.35774,1.52873,0.0321206,0.000120551,0.000120551
24,325.777,1.86701,2.82124,1.35005,0.00486,0.29915,0.17288,0.06293,1.95348,3.32158,1.52863,0.0291244,0.000124435,0.000124435
25,338.04,1.51789,2.70897,1.13784,0.00486,0.29915,0.17288,0.06293,1.95348,3.32158,1.52863,0.0261281,0.000128144,0.000128144
26,352.563,1.8324,2.85289,1.34799,0.00486,0.29915,0.17219,0.06278,1.95845,3.28249,1.53171,0.0231317,0.000131673,0.000131673
27,364.368,1.66366,2.6563,1.18908,0.00486,0.29915,0.17219,0.06278,1.95845,3.28249,1.53171,0.020135,0.000135016,0.000135016
28,375.256,1.81177,2.78134,1.32478,0.17153,0.32137,0.26967,0.11229,1.97288,3.23226,1.53415,0.0171382,0.00013817,0.00013817
29,386.784,1.76357,2.70171,1.29362,0.17153,0.32137,0.26967,0.11229,1.97288,3.23226,1.53415,0.0141411,0.00014113,0.00014113
30,401.976,1.64929,2.68029,1.25036,0.17153,0.32137,0.26967,0.11229,1.97288,3.23226,1.53415,0.0111439,0.000143893,0.000143893
31,415.029,1.74348,2.65911,1.30354,0.17154,0.32137,0.2714,0.112,1.98697,3.17377,1.54045,0.00814646,0.000146455,0.000146455
32,427.157,1.73728,2.66144,1.26744,0.17154,0.32137,0.2714,0.112,1.98697,3.17377,1.54045,0.00514881,0.000148814,0.000148814
33,438.657,1.64231,2.5289,1.22261,0.78451,0.22222,0.24201,0.09364,2.00534,3.10231,1.55214,0.00215097,0.000150966,0.000150966
34,451.445,1.71457,2.72554,1.3023,0.78451,0.22222,0.24201,0.09364,2.00534,3.10231,1.55214,0.000151395,0.000151395,0.000151395
35,465.429,1.70703,2.67737,1.18631,0.78451,0.22222,0.24201,0.09364,2.00534,3.10231,1.55214,0.000148694,0.000148694,0.000148694
36,479.274,1.80068,2.60877,1.3144,0.87324,0.18112,0.25078,0.09465,2.02515,3.0162,1.55376,0.000145945,0.000145945,0.000145945
37,491.833,1.762,2.59117,1.30479,0.87324,0.18112,0.25078,0.09465,2.02515,3.0162,1.55376,0.000143152,0.000143152,0.000143152
38,502.036,1.74328,2.62663,1.28336,0.87324,0.18112,0.25078,0.09465,2.02515,3.0162,1.55376,0.000140318,0.000140318,0.000140318
39,514.607,1.7947,2.56141,1.29904,0.84025,0.19658,0.28929,0.11444,2.04782,2.93925,1.56641,0.000137444,0.000137444,0.000137444
40,527.482,1.77004,2.5136,1.31686,0.84025,0.19658,0.28929,0.11444,2.04782,2.93925,1.56641,0.000134535,0.000134535,0.000134535
41,540.361,1.86738,2.57745,1.37865,0.88518,0.17094,0.33326,0.13051,2.07091,2.8574,1.57663,0.000131593,0.000131593,0.000131593
42,553.946,1.68283,2.42207,1.19971,0.88518,0.17094,0.33326,0.13051,2.07091,2.8574,1.57663,0.00012862,0.00012862,0.00012862
43,566.152,1.97805,2.58678,1.43968,0.88518,0.17094,0.33326,0.13051,2.07091,2.8574,1.57663,0.00012562,0.00012562,0.00012562
44,581.631,1.63599,2.41137,1.20026,0.88434,0.17094,0.35359,0.13272,2.08935,2.77172,1.59471,0.000122596,0.000122596,0.000122596
45,595.785,1.73126,2.49199,1.27045,0.88434,0.17094,0.35359,0.13272,2.08935,2.77172,1.59471,0.000119551,0.000119551,0.000119551
46,614.67,1.69725,2.37413,1.25719,0.88434,0.17094,0.35359,0.13272,2.08935,2.77172,1.59471,0.000116487,0.000116487,0.000116487
47,626.375,1.64828,2.46634,1.23785,0.87291,0.18034,0.37941,0.1432,2.10831,2.69021,1.60998,0.000113408,0.000113408,0.000113408
48,640.709,1.81116,2.44285,1.3882,0.87291,0.18034,0.37941,0.1432,2.10831,2.69021,1.60998,0.000110317,0.000110317,0.000110317
49,652.289,1.75934,2.47052,1.28282,0.78209,0.24627,0.3948,0.1446,2.12229,2.60899,1.61726,0.000107216,0.000107216,0.000107216
50,670.339,1.76606,2.2949,1.2628,0.78209,0.24627,0.3948,0.1446,2.12229,2.60899,1.61726,0.00010411,0.00010411,0.00010411
51,681.363,1.77916,2.28545,1.32014,0.78209,0.24627,0.3948,0.1446,2.12229,2.60899,1.61726,0.000101,0.000101,0.000101
52,692.946,1.81545,2.38011,1.323,0.72693,0.28034,0.39886,0.14473,2.13218,2.54917,1.62374,9.78903e-05,9.78903e-05,9.78903e-05
53,708.501,1.6906,2.28141,1.26654,0.72693,0.28034,0.39886,0.14473,2.13218,2.54917,1.62374,9.47837e-05,9.47837e-05,9.47837e-05
54,720.479,1.96083,2.37653,1.39404,0.72693,0.28034,0.39886,0.14473,2.13218,2.54917,1.62374,9.16833e-05,9.16833e-05,9.16833e-05
55,736.353,1.78141,2.33896,1.29139,0.60621,0.33291,0.40243,0.14614,2.1432,2.49721,1.63266,8.8592e-05,8.8592e-05,8.8592e-05
56,747.978,1.86405,2.45937,1.30011,0.60621,0.33291,0.40243,0.14614,2.1432,2.49721,1.63266,8.5513e-05,8.5513e-05,8.5513e-05
57,761.684,1.85712,2.40967,1.40566,0.62342,0.31227,0.41145,0.15187,2.13962,2.45495,1.63136,8.24492e-05,8.24492e-05,8.24492e-05
58,773.315,2.13723,2.46795,1.48099,0.62342,0.31227,0.41145,0.15187,2.13962,2.45495,1.63136,7.94038e-05,7.94038e-05,7.94038e-05
59,785.666,1.80676,2.25978,1.24702,0.62342,0.31227,0.41145,0.15187,2.13962,2.45495,1.63136,7.63797e-05,7.63797e-05,7.63797e-05
60,800.17,1.78551,2.26261,1.30595,0.6491,0.36535,0.40992,0.15239,2.14793,2.41885,1.63467,7.33799e-05,7.33799e-05,7.33799e-05
61,813.26,1.68847,2.26318,1.27753,0.6491,0.36535,0.40992,0.15239,2.14793,2.41885,1.63467,7.04073e-05,7.04073e-05,7.04073e-05
62,829.854,1.77334,2.27497,1.32659,0.6491,0.36535,0.40992,0.15239,2.14793,2.41885,1.63467,6.74649e-05,6.74649e-05,6.74649e-05
63,841.742,1.74614,2.25028,1.3284,0.66165,0.39298,0.41018,0.15294,2.14987,2.3884,1.63683,6.45557e-05,6.45557e-05,6.45557e-05
64,855.204,1.79627,2.14389,1.24425,0.66165,0.39298,0.41018,0.15294,2.14987,2.3884,1.63683,6.16824e-05,6.16824e-05,6.16824e-05
65,868.956,1.86101,2.23888,1.3958,0.67575,0.38286,0.40903,0.1529,2.1514,2.36202,1.63962,5.88479e-05,5.88479e-05,5.88479e-05
66,883.766,1.91205,2.39136,1.39194,0.67575,0.38286,0.40903,0.1529,2.1514,2.36202,1.63962,5.60549e-05,5.60549e-05,5.60549e-05
67,897.803,1.96426,2.22681,1.38286,0.67575,0.38286,0.40903,0.1529,2.1514,2.36202,1.63962,5.33064e-05,5.33064e-05,5.33064e-05
68,911.772,1.84264,2.33008,1.36145,0.69599,0.37282,0.41096,0.15607,2.14884,2.33856,1.63942,5.06049e-05,5.06049e-05,5.06049e-05
69,922.687,1.78183,2.26616,1.23209,0.69599,0.37282,0.41096,0.15607,2.14884,2.33856,1.63942,4.79531e-05,4.79531e-05,4.79531e-05
70,939.446,1.80642,2.18013,1.25425,0.69599,0.37282,0.41096,0.15607,2.14884,2.33856,1.63942,4.53537e-05,4.53537e-05,4.53537e-05
71,951.638,1.83316,2.11318,1.34475,0.7054,0.37969,0.41083,0.15629,2.15665,2.32764,1.64522,4.28093e-05,4.28093e-05,4.28093e-05
72,965.614,1.8575,2.35922,1.38613,0.7054,0.37969,0.41083,0.15629,2.15665,2.32764,1.64522,4.03222e-05,4.03222e-05,4.03222e-05
73,976.397,1.82941,2.19639,1.28193,0.72012,0.38599,0.40893,0.15438,2.15445,2.31284,1.64254,3.7895e-05,3.7895e-05,3.7895e-05
74,989.327,1.78221,2.1208,1.31415,0.72012,0.38599,0.40893,0.15438,2.15445,2.31284,1.64254,3.55301e-05,3.55301e-05,3.55301e-05
75,1005.96,1.86181,2.21719,1.34295,0.72012,0.38599,0.40893,0.15438,2.15445,2.31284,1.64254,3.32298e-05,3.32298e-05,3.32298e-05
76,1017.51,1.90354,2.21692,1.40944,0.72888,0.39425,0.41316,0.15714,2.15222,2.30338,1.64199,3.09964e-05,3.09964e-05,3.09964e-05
